timestamp,model,latency,response_length
1767762155.1460524,llama,4.456,172
1767762155.3358083,gemini,4.651,146
1767762166.0127838,chatgpt,15.329,317
1767762266.7193549,llama,1.41,127
1767762266.9947727,gemini,1.689,166
1767762270.552881,chatgpt,5.25,317
1767762635.315356,llama,1.106,33
1767762636.2027853,gemini,1.996,32
1767762638.4367888,chatgpt,4.232,409
1767762814.775312,llama,1.24,91
1767762814.9998682,gemini,1.47,32
1767762816.664605,chatgpt,3.136,409
1767762906.5309343,llama,1.047,34
1767762907.441435,chatgpt,1.962,409
1767762908.8771868,gemini,3.396,32
1767763154.0739548,llama,2.99,73
1767763154.299584,gemini,3.218,32
1767763159.0165353,chatgpt,7.937,317
